start_time, prefix, as_path, asID, vrpID, maxlen
1655878918,61.19.126.0/23,23673+134089+37930+9931,9931,99314,23
1655879065,120.106.128.0/18,23673+55329+137557+4809+3462+9916,9916,1659,11
1655878554,36.88.192.0/19,57463+7713,7713,7713,16
1655878554,36.90.96.0/22,57463+7713,7713,7713,16
1656397732,37.239.222.0/24,20130+6939+60051+208293+50710,50710,50710,21
1655878554,36.90.30.0/23,57463+7713,7713,7713,16
1655878554,36.90.174.0/23,57463+7713,7713,7713,16
1655878554,36.90.52.0/22,57463+7713,7713,7713,16
1655878554,36.90.218.0/23,57463+7713,7713,7713,16
1655878554,36.90.214.0/23,57463+7713,7713,7713,16
1655878554,36.90.76.0/22,57463+7713,7713,7713,16
1656402937,36.66.5.0/24,13030+7713+137019,137019,7713,24
1655878554,36.90.188.0/24,57463+7713,7713,7713,16
1655878554,36.90.20.0/22,57463+7713,7713,7713,16
1655878554,36.90.212.0/24,57463+7713,7713,7713,16
1655878554,36.90.190.0/23,57463+7713,7713,7713,16
1656462960,168.228.234.0/24,13030+23520+52471,52471,52471,22
1656041905,101.255.126.0/24,20130+6939+58552+38511,38511,38511,18
1656507637,36.90.128.0/23,13030+7713,7713,7713,16
1655443212,186.101.192.0/18,3130+2914+1299+27947,27947,52257,24
1655443212,186.101.128.0/18,3130+2914+1299+27947,27947,52257,24
1655443212,181.198.192.0/18,3130+2914+1299+27947,27947,52257,24
1655443212,181.198.128.0/18,3130+2914+1299+27947,27947,52257,24
1654056366,181.199.64.0/18,3130+2914+3491+27947,27947,52257,24
1656530806,186.101.232.0/24,3741+6939+23520+27947,27947,52257,24
1656016159,190.90.24.0/24,3130+1239+262589+18678,18678,262589,24
1656016159,131.196.215.0/24,3130+1239+262589+27951+265696,265696,265696,23
1656016159,131.196.214.0/24,3130+1239+262589+27951+265696,265696,265696,23
1656402152,37.239.114.0/24,20130+6939+60051+208293+50710,50710,50710,20
1656536503,46.32.1.0/24,7660+2516+3356+6453+49666+12880+24631,24631,24631,22
1656397736,37.238.156.0/24,23673+55329+6939+60051+208293+50710,50710,50710,23
1655159930,57.78.0.0/17,3130+1239+6853+51964,51964,6853,32
1656473040,37.239.203.0/24,7660+2516+6762+49832+208293+50710,50710,50710,21
1656400663,37.238.15.0/24,20130+6939+60051+208293+50710,50710,50710,21
1656507449,37.238.204.0/24,23673+55329+6939+60051+208293+50710,50710,50710,23
1655598475,188.209.89.0/24,3130+1239+137+31638,31638,31638,21
1655598475,188.209.88.0/24,3130+1239+137+31638,31638,31638,21
1656419374,45.232.185.0/24,8492+20764+61568+267271,267271,267271,23
1656419374,45.232.184.0/24,8492+20764+61568+267271,267271,267271,23
1656159809,209.150.150.0/24,3130+2914+174+38193+138423,138423,59257,24
1656159809,209.150.148.0/24,3130+2914+174+38193+138423,138423,59257,24
1656544059,118.107.143.0/24,23673+38193+18053,18053,18053,20
1656544059,118.107.141.0/24,23673+38193+18053,18053,18053,20
1656544029,103.137.24.0/23,23673+38193+18053,18053,18053,22
1656544059,118.107.131.0/24,23673+38193+18053,18053,18053,20
1656543939,101.50.84.0/22,23673+38193+23674,23674,23674,18
1656544118,202.166.170.0/24,23673+38193+55501,55501,55501,23
1655878554,36.90.12.0/22,57463+7713,7713,7713,16
1655878554,36.90.134.0/23,57463+7713,7713,7713,16
1655878554,36.90.68.0/22,57463+7713,7713,7713,16
1655878500,125.167.48.0/22,57463+7713,7713,7713,21
1655878500,125.167.52.0/22,57463+7713,7713,7713,21
1655878554,36.90.44.0/22,57463+7713,7713,7713,16
1655878554,36.88.32.0/19,57463+7713,7713,7713,16
1655878554,36.90.84.0/22,57463+7713,7713,7713,16
1655878554,36.90.252.0/23,57463+7713,7713,7713,16
1655878554,36.90.232.0/22,57463+7713,7713,7713,16
1655878554,36.90.254.0/23,57463+7713,7713,7713,16
1655878554,36.90.88.0/22,57463+7713,7713,7713,16
1655878554,36.90.250.0/23,57463+7713,7713,7713,16
1655878554,36.90.108.0/22,57463+7713,7713,7713,16
1656507637,36.90.146.0/23,13030+7713,7713,7713,16
1655878554,36.90.200.0/23,57463+7713,7713,7713,16
1655878554,36.90.0.0/22,57463+7713,7713,7713,16
1655878554,36.90.100.0/22,57463+7713,7713,7713,16
1655878554,36.90.172.0/23,57463+7713,7713,7713,16
1655878554,36.90.60.0/22,57463+7713,7713,7713,16
1655878554,36.90.210.0/23,57463+7713,7713,7713,16
1655878554,36.90.72.0/22,57463+7713,7713,7713,16
1656507637,36.90.242.0/23,13030+7713,7713,7713,16
1656507637,36.88.0.0/18,13030+7713,7713,7713,16
1656507637,36.90.142.0/23,13030+7713,7713,7713,16
1656507637,36.90.246.0/23,13030+7713,7713,7713,16
1656523865,36.90.64.0/22,23673+7713,7713,7713,16
1656523865,36.90.230.0/23,23673+7713,7713,7713,16
1656523865,36.90.8.0/22,23673+7713,7713,7713,16
1655878554,36.90.122.0/23,57463+7713,7713,7713,16
1655878554,36.90.238.0/23,57463+7713,7713,7713,16
1655878554,36.90.16.0/22,57463+7713,7713,7713,16
1655878554,36.90.226.0/23,57463+7713,7713,7713,16
1656402937,36.66.22.0/24,13030+7713+137019,137019,7713,24
1656402937,36.66.18.0/24,13030+7713+137019,137019,7713,24
1655878554,36.90.184.0/23,57463+7713,7713,7713,16
1655878554,36.90.168.0/23,57463+7713,7713,7713,16
1655878554,36.90.180.0/23,57463+7713,7713,7713,16
1655878554,36.90.48.0/22,57463+7713,7713,7713,16
1655878554,36.90.182.0/23,57463+7713,7713,7713,16
1655878554,36.90.118.0/23,57463+7713,7713,7713,16
1655878554,36.90.170.0/23,57463+7713,7713,7713,16
1655878554,36.90.166.0/23,57463+7713,7713,7713,16
1655878554,36.90.186.0/23,57463+7713,7713,7713,16
1655878554,36.90.80.0/22,57463+7713,7713,7713,16
1656507637,36.88.224.0/19,13030+7713,7713,7713,16
1656324959,36.90.24.0/22,11686+6461+6453+7713,7713,7713,16
1655878554,36.90.116.0/23,57463+7713,7713,7713,16
1655878620,36.90.192.0/23,11686+6461+6453+7713,7713,7713,16
1656402937,36.66.21.0/24,13030+7713+137019,137019,7713,24
1656402937,36.66.17.0/24,13030+7713+137019,137019,7713,24
1656507637,36.88.96.0/19,13030+7713,7713,7713,16
1655878554,36.90.236.0/23,57463+7713,7713,7713,16
1655878554,36.90.4.0/22,57463+7713,7713,7713,16
1655878554,36.90.140.0/23,57463+7713,7713,7713,16
1655878554,36.88.64.0/19,57463+7713,7713,7713,16
1655878500,125.167.56.0/22,57463+7713,7713,7713,21
1655878554,36.90.40.0/22,57463+7713,7713,7713,16
1655878500,125.167.60.0/22,57463+7713,7713,7713,21
1655878554,36.90.36.0/22,57463+7713,7713,7713,16
1655878554,36.90.28.0/23,57463+7713,7713,7713,16
1655878554,36.90.144.0/23,57463+7713,7713,7713,16
1656507713,125.162.188.0/22,13030+7713,7713,7713,16
1655878554,36.90.138.0/23,57463+7713,7713,7713,16
1656507637,36.90.126.0/23,13030+7713,7713,7713,16
1655878554,36.90.94.0/23,57463+7713,7713,7713,16
1655878554,36.90.114.0/23,57463+7713,7713,7713,16
1655878554,36.88.128.0/19,57463+7713,7713,7713,16
1655878554,36.90.204.0/23,57463+7713,7713,7713,16
1655878554,36.90.160.0/23,57463+7713,7713,7713,16
1655878554,36.90.158.0/23,57463+7713,7713,7713,16
1655878620,36.90.208.0/23,11686+6461+6453+7713,7713,7713,16
1655878620,36.90.150.0/23,11686+6461+6453+7713,7713,7713,16
1655878554,36.90.196.0/22,57463+7713,7713,7713,16
1655878620,36.90.206.0/23,11686+6461+6453+7713,7713,7713,16
1655878554,36.90.202.0/23,57463+7713,7713,7713,16
1655878554,36.90.244.0/23,57463+7713,7713,7713,16
1655878554,36.90.152.0/23,57463+7713,7713,7713,16
1655878554,36.90.136.0/23,57463+7713,7713,7713,16
1655878554,36.90.104.0/22,57463+7713,7713,7713,16
1655878554,36.90.216.0/23,57463+7713,7713,7713,16
1655878554,36.90.130.0/23,57463+7713,7713,7713,16
1656523745,36.90.228.0/23,23673+7713,7713,7713,16
1655878554,36.90.92.0/23,57463+7713,7713,7713,16
1655878620,36.90.240.0/23,11686+6461+6453+7713,7713,7713,16
1655878620,36.90.154.0/23,11686+6461+6453+7713,7713,7713,16
1655878554,36.90.194.0/23,57463+7713,7713,7713,16
1655878554,36.90.248.0/23,57463+7713,7713,7713,16
1655878554,36.90.32.0/22,57463+7713,7713,7713,16
1656507637,36.90.156.0/23,13030+7713,7713,7713,16
1656507637,36.90.56.0/22,13030+7713,7713,7713,16
1656507637,36.90.220.0/23,13030+7713,7713,7713,16
1656507637,36.90.162.0/23,13030+7713,7713,7713,16
1656507637,36.90.224.0/23,13030+7713,7713,7713,16
1656507637,36.90.222.0/23,13030+7713,7713,7713,16
1656507637,36.90.164.0/23,13030+7713,7713,7713,16
1656507637,36.90.176.0/22,13030+7713,7713,7713,16
1655878554,36.90.132.0/23,57463+7713,7713,7713,16
1655878554,36.90.148.0/23,57463+7713,7713,7713,16
1655878554,36.90.124.0/23,57463+7713,7713,7713,16
1655878326,1.6.219.0/24,57463+9498+21859+9583+137130,137130,9583,24
1655878325,1.6.172.0/24,57463+9498+21859+9583,9583,9583,22
1655225483,47.241.82.0/24,7660+2516+7473+9498+21859+24429,24429,45102,24
1655225483,47.241.82.0/23,7660+2516+7473+9498+21859+24429,24429,45102,24
1655409386,107.155.22.0/24,3130+2914+1299+21859,21859,205676,24
1655878344,1.186.149.0/24,57463+9498+45769,45769,45769,16
1655878660,103.159.85.0/24,57463+9498+135722+141004,141004,141004,23
1655878660,103.159.84.0/24,57463+9498+135722+141004,141004,141004,23
1656467686,103.127.91.0/24,701+6453+9498+18229,18229,135765,24
1655878326,223.30.155.0/24,57463+9498+21859+9583,9583,9583,21
1655878326,223.30.70.0/24,57463+9498+21859+9583,9583,9583,23
1656543640,31.214.246.0/24,3130+1239+212708+30823+197071,197071,30823,24
1655199803,202.178.182.0/24,3130+24482+133748+17709+7482,7482,17709,24
1656423273,210.63.207.0/24,3130+2914+15412+17709+24154,24154,17709,24
1656423273,210.63.208.0/24,3130+2914+15412+17709+24154,24154,17709,24
1656423273,210.63.209.0/24,3130+2914+15412+17709+24154,24154,17709,24
1656423273,210.63.214.0/24,3130+2914+15412+17709+24154,24154,17709,24
1656423273,210.63.204.0/24,3130+2914+15412+17709+24154,24154,17709,24
1656423273,210.63.213.0/24,3130+2914+15412+17709+24154,24154,17709,24
1656423273,210.63.205.0/24,3130+2914+15412+17709+24154,24154,17709,24
1656423273,210.63.215.0/24,3130+2914+15412+17709+24154,24154,17709,24
1656423273,210.63.206.0/24,3130+2914+15412+17709+24154,24154,17709,24
1656326501,211.76.120.0/24,3130+2914+3491+9924+38841,38841,9924,24
1655878326,223.30.247.0/24,57463+9498+21859+9583,9583,9583,23
1655878662,223.224.198.0/24,2152+6461+9498+45609+134426,134426,45609,24
1655878660,103.180.121.0/24,57463+9498+135722+141004,141004,141004,23
1655878660,103.154.184.0/24,57463+9498+135722+141004,141004,141004,23
1655878660,103.154.185.0/24,57463+9498+135722+141004,141004,141004,23
1655878660,103.171.180.0/24,57463+9498+135722+141004,141004,141004,23
1655878660,103.171.181.0/24,57463+9498+135722+141004,141004,141004,23
1655878660,103.180.120.0/24,57463+9498+135722+141004,141004,141004,23
1655878590,103.179.102.0/24,57463+9498+133661+133696,133696,133661,24
1655878590,103.179.11.0/24,57463+9498+133661+133696,133696,133661,24
1655878590,103.179.10.0/24,57463+9498+133661+133696,133696,133661,24
1655906397,103.160.99.0/24,11686+6461+7473+9498+136312,136312,141335,24
1655878536,117.97.94.0/24,57463+9498+45609,45609,45609,20
1655878536,117.97.93.0/24,57463+9498+45609,45609,45609,20
1655878536,117.97.96.0/19,57463+9498+45609,45609,9498,18
1655878590,101.0.35.0/24,57463+9498+133661+133696,133696,133661,24
1656524134,202.52.56.0/24,23673+9498+55448,55448,55448,23
1656252887,183.182.88.0/24,2152+6461+7473+9498+45916+55351,55351,45916,24
