start_time, prefix, as_path, asID, vrpID, maxlen
1640967833,192.169.212.0/22,28642+267469+57463+212442,212442,20773,24
1646743976,170.82.225.0/24,63956+6762+12956+269826,269826,52439,24
1642155466,193.233.176.0/20,201971+213035+136923,136923,7018,20
1647674483,171.22.52.0/22,25291+1299+174+35346+57916+207238+209961,209961,1239,22
1649537593,2a01:360::/29,20205+6939+30823+206425,206425,34549,29
1645380381,198.12.61.0/24,49463+8218+6461+52320+11014+61452+23198,23198,28075,24
1650475131,185.112.249.0/24,14613+6939+8926+35346+207177,207177,211936,24
1650475131,188.208.103.0/24,20205+6939+8926+35346+207177,207177,701,24
1650475131,193.46.204.0/24,14613+6939+8926+35346+207177,207177,64470,24
1650475131,193.46.214.0/24,20205+6939+8926+35346+207177,207177,64470,24
1650475119,194.180.238.0/24,14613+6939+8926+35346+207177,207177,206654,24
1650475131,194.242.28.0/23,14613+6939+8926+35346+207177,207177,205301,23
1650475179,195.138.120.0/24,34224+5606+50084+35346+207177,207177,1239,24
1650475131,195.149.127.0/24,20205+6939+8926+35346+207177,207177,209945,24
1650475131,2.58.60.0/22,20205+6939+8926+35346+207177,207177,209396,22
1650475131,5.252.168.0/22,14613+6939+8926+35346+207177,207177,209945,22
1650475131,80.94.80.0/23,20205+6939+8926+35346+207177,207177,49443,23
1646656378,88.88.0.0/13,32563+6461+12956+52873+266142+53242,53242,2119,13
1643090508,191.96.128.0/18,48200+6762+3356+3549+272045,272045,61317,24
1655961248,77.47.128.0/17,51944+59613+21500+208747,208747,25500,17
1647150881,170.83.219.0/24,32563+6461+6762+27947+4200000178,4200000178,22724,24
1645532871,91.222.43.0/24,53137+267354,267354,206150,24
1645534074,91.231.164.0/22,29097+13030+198726,198726,198090,22
1645538930,179.97.62.0/24,63956+6762+267470+271550,271550,52962,24
1644938399,89.41.168.0/22,11039+6461+9050+51102,51102,20857,22
1644952652,103.132.178.0/24,63956+132602+65560,65560,138541,24
1646900863,93.170.0.0/15,49673+43727+41798+208946,208946,44546,24
1645188912,195.69.230.0/24,48659+29535+6939+44217+208293+41032+213168,213168,202316,24
1640840126,95.46.0.0/15,16178+25144+5391+6939+9049+50688,50688,44546,24
1640839441,96.96.0.0/12,138540+9299+4761+56060,56060,7922,12
1652804832,35.131.128.0/18,63956+6762+3356+400676+5,5,20115,18
1647588012,103.175.14.0/23,6453+40065+138628+147002,147002,148972,24
1640397286,172.32.0.0/11,59919+49367+6762+12956+8346,8346,21928,24
1640397286,80.144.0.0/13,264415+23106+52320+6461+12956+8346,8346,3320,13
1642065595,31.210.20.0/24,53131+6939+213035+136923,136923,211252,24
1642065595,37.0.10.0/24,49673+6939+213035+136923,136923,211252,24
1655524398,103.184.207.0/24,31463+6762+7473+9498+136287+14955,14955,149555,24
1647382430,45.176.191.0/24,1126+3549+11172+270150,270150,265621,24
1649676277,103.151.226.0/24,18356+9931+4651+136106+141130+3,3,140429,24
1655712632,20.0.0.0/11,59919+49367+6762+8452,8452,8075,11
1652693167,94.75.96.0/19,8781+8308+197336,197336,6830,19
1641096821,103.140.212.0/24,203086+57463+9498+58717+137019+137029+70555,70555,139283,24
1654639815,172.32.0.0/11,28300+52873+52872+265345,265345,21928,24
1654642769,18.194.0.0/15,264415+23106+52320+7738+4230+53146,53146,14618,24
1640811035,23.230.0.0/16,53070+4230+57695+64511,64511,18779,24
1640811035,23.230.96.0/19,28646+4230+57695+64511,64511,18779,24
1645687256,142.250.0.0/15,43561+34224+6762+4230+53146,53146,15169,15
1645735844,170.83.172.0/24,11039+6461+6762+262253,262253,266475,24
1642542860,103.120.223.0/24,63956+132602+65560,65560,134601,24
1645020780,185.205.206.0/24,2711+174+395111,395111,13213,24
1645030210,198.12.63.0/24,28292+53062+52320+11014+61452+23004,23004,28075,24
1649326540,172.32.0.0/11,43561+5578+15962+209998,209998,21928,24
1651086689,136.175.124.0/24,28140+4809+812+33130,33130,270147,24
1648469186,104.244.42.0/24,29097+13030+8359+8342,8342,13414,24
1641900191,91.222.43.0/24,4270+7303+262589+267354,267354,206150,24
1641397649,138.255.23.0/24,138540+4775+15412+6762+262253,262253,263951,24
1652325270,170.39.227.0/24,63956+137409+142616+4233001668,4233001668,57695,24
1641224095,45.11.184.0/23,262595+23106+57463+212442,212442,61317,24
1639564018,101.103.0.0/16,393891+6939+9304+139646,139646,1221,16
1639593227,31.130.184.0/24,38987+5617+5511+6461+50673+59721,59721,56749,20
1639593226,31.130.185.0/24,28642+267469+28329+7738+6762+6461+50673+59721,59721,56749,20
1639593226,31.130.186.0/24,30893+42708+6461+50673+59721,59721,56749,20
1640085874,188.17.224.0/19,37989+56300+132132+4657+6762+12956+4809+263998+28267,28267,12389,19
1654516911,185.243.172.0/22,201953+50607+39392+204666+47232+4200000001,4200000001,198668,22
1654516911,45.153.192.0/22,201953+50607+39392+204666+47232+4228100017,4228100017,198668,22
1652947371,195.66.224.0/21,29097+13030+8553,8553,5459,19
1652988860,172.69.4.0/22,264415+23106+52320+14080+8026,8026,13335,22
1652988860,176.0.0.0/13,264415+23106+52320+14080+8026,8026,12638,13
1652988860,190.1.0.0/23,264415+23106+52320+14080+8026,8026,27833,24
1650572826,210.48.150.0/23,32563+6461+4788+18206+4202202105+4202202131,4202202131,17971,24
1649200799,131.196.82.0/24,11039+4901+11164+6461+6057+27988+265772+3,3,265817,24
