time,prefix,as_path,as_origin,roa_origin
1657912661,2a0d:1a40:faf::/48,None,202313,138987
1657921287,2a0d:3340:d000::/36,None,36492,14593
1657921293,2a0d:5040::/32,None,8315,34762
1657918481,2a0d:82c7:3000::/36,None,47787,141193
1657917668,2a0e:1c80:6::/48,None,3399,42675
1657921361,2a0e:b107:17f0::/45,None,142553,207079
1657921361,2a0e:b107:17f8::/48,None,142553,207079
1657921397,2a0f:9400:7808::/48,None,147028,53356
1657921397,2a0f:9400:780b::/48,None,147028,53356
1657921398,2a0f:9400:7838::/47,None,147028,53356
1657921674,2a10:4640::/48,None,212815,212815
1657920877,2a11:60c0:1::/48,None,212217,20473+210727
1657738153,2a12:4180:42:1::/64,None,61180,51088
1657921463,2a12:dd47::/33,None,50058,50058
1657880768,65.51.30.0/24,None,19720,54004
1657921696,65.72.64.0/20,None,3491,198148
1657919802,66.19.20.0/22,None,7029,7029
1657919802,66.19.88.0/22,None,7029,7029
1657851383,66.110.102.0/24,None,6453,6453
1657769228,66.198.100.0/24,None,7029,6453
1657919802,66.217.95.0/24,None,7029,7029
1657919802,66.217.170.0/24,None,7029,7029
1657919802,66.217.228.0/24,None,7029,7029
1657855423,66.231.68.0/24,None,23246,271936
1657919802,66.248.104.0/21,None,7029,7029
1657919802,66.248.113.0/24,None,7029,7029
1657844478,67.212.227.0/24,None,13213,29854
1657738261,68.225.172.0/23,None,22773,22773
1657907570,69.27.247.0/24,None,27478,6128
1657879103,69.28.180.0/24,None,22822,55429+60261+38621+26506+25804+23059+45396+37277+38622
1657738428,70.41.27.0/24,None,40306,7155
1657738261,70.182.86.0/24,None,22773,22773
1657914420,203.32.26.0/24,None,9443,43260
1657914492,203.32.31.0/24,None,9443,4826
1657922298,203.101.41.0/24,None,24560,9498
1657905379,203.101.110.0/24,None,9498,9498
1657770394,203.117.40.0/23,None,138345,9874
1657921016,203.123.68.0/24,None,10113,9443
1657916531,203.127.31.0/24,None,9255,3758
1657916529,203.127.225.0/24,None,17894,3758
1657916529,203.127.237.0/24,None,3758,3758
